"State Name","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"NH","-12.02","-11.12","-7.0","-0.07","5.01","11.63","13.97","12.52","8.43","2.83","-1.89","-8.8"
"MH","25.9","25.85","26.0","26.13","26.2","25.96","25.85","25.85","25.85","25.75","25.76","25.85"
"TX","2.2","3.94","8.32","11.71","16.83","20.96","22.0","22.09","18.48","12.36","7.19","2.1"
"FM","24.9","24.9","24.81","24.87","24.79","24.8","24.42","24.23","24.26","24.29","24.66","24.7"
"PW","24.54","24.32","24.42","24.7","24.72","24.56","24.44","24.7","24.68","25.04","24.68","24.58"
"ID","-8.36","-7.22","-3.66","-0.52","3.63","7.58","11.31","9.49","4.98","0.62","-3.73","-8.55"
"MP","23.3","23.2","23.35","23.85","24.15","24.15","23.95","23.95","23.85","23.8","24.0","23.55"
"FL","9.92","9.58","12.5","15.34","19.34","22.5","23.48","23.87","22.57","18.7","13.46","11.04"
"UT","-9.23","-6.49","-2.87","0.57","5.34","9.8","14.9","12.97","7.59","1.98","-3.47","-8.81"
"RI","-5.61","-5.4","-1.85","3.62","8.52","14.5","17.59","16.55","12.58","6.67","2.29","-3.48"
"CO","-11.04","-9.23","-5.17","-1.34","3.89","8.52","12.29","11.16","6.21","0.29","-5.05","-10.72"
"PA","-5.82","-6.74","-2.22","3.43","7.66","14.14","16.08","15.8","11.65","5.69","0.93","-4.56"
"PR","18.66","18.32","18.96","20.03","21.44","22.13","22.33","22.34","22.01","21.68","20.57","19.15"
"OR","-1.9","-1.51","-0.07","1.45","5.29","8.03","11.03","9.8","6.57","3.12","0.25","-2.83"
"WY","-12.52","-10.95","-6.19","-2.4","2.49","7.4","11.57","9.62","4.36","-1.0","-6.25","-13.09"
"MD","-2.88","-3.66","0.78","6.35","10.51","16.98","19.02","18.78","14.53","8.51","3.25","-2.07"
"NM","-6.82","-4.69","-1.87","1.69","6.92","11.74","14.74","13.95","9.63","3.45","-2.74","-6.48"
"HI","16.96","16.42","17.2","17.59","18.57","19.62","20.1","20.21","20.03","19.73","18.8","17.59"
"NY","-8.43","-8.73","-4.67","1.98","6.62","13.39","15.66","14.79","10.8","4.95","0.18","-5.9"
"MI","-9.17","-10.0","-5.61","1.25","6.07","12.35","14.38","14.12","9.91","4.25","-0.72","-7.07"
"KS","-6.62","-5.25","0.8","5.4","11.11","17.07","19.14","18.95","13.27","6.26","0.14","-6.63"
"MN","-15.67","-15.24","-6.54","1.17","6.69","12.59","14.88","13.63","9.25","2.65","-4.0","-13.68"
"WV","-4.26","-5.23","-0.13","4.85","8.52","14.56","16.1","16.8","12.28","6.03","0.59","-3.88"
"AR","-0.29","0.39","5.4","9.74","14.71","19.75","20.84","21.23","16.69","9.45","4.88","-0.42"
"IA","-11.42","-10.6","-2.6","3.77","9.27","15.33","17.03","16.25","11.16","4.41","-1.66","-10.43"
"NV","-6.27","-3.79","-1.68","1.07","6.15","10.29","15.01","12.72","7.83","2.49","-2.2","-6.33"
"WA","-1.58","-1.04","0.74","2.72","6.39","9.43","12.11","11.3","8.18","4.12","0.69","-2.76"
"AL","1.84","1.86","6.25","9.94","15.25","19.7","21.17","21.66","18.02","10.79","5.03","2.06"
"NE","-9.82","-8.7","-2.6","2.5","8.15","14.26","16.96","16.1","9.99","3.11","-3.12","-10.32"
"VI","22.49","22.62","22.89","23.66","24.88","25.56","25.94","25.89","25.38","24.75","23.85","22.89"
"AZ","-0.92","0.9","2.95","6.02","10.97","15.69","20.28","18.97","15.01","8.62","3.21","-1.18"
"CA","2.61","3.97","4.81","6.3","9.98","12.61","15.49","14.48","12.18","8.79","5.61","2.68"
"AS","26.27","26.38","26.38","26.2","25.77","25.48","25.25","25.32","25.33","25.45","25.5","25.57"
"NJ","-3.9","-4.2","-0.3","5.15","9.61","16.17","18.6","17.94","13.82","7.76","3.15","-2.55"
"SC","1.21","1.17","5.33","9.41","14.26","19.62","20.81","21.6","17.7","10.91","5.05","1.57"
"GA","2.04","1.7","5.94","9.68","14.67","19.45","20.79","21.54","17.85","11.41","5.26","2.48"
"MT","-11.26","-9.99","-5.43","-1.66","3.08","7.6","11.01","9.18","4.66","-0.54","-5.58","-12.54"
"KY","-2.66","-3.12","2.32","7.15","11.53","17.15","18.54","18.93","14.47","7.36","1.85","-2.54"
"MS","2.25","2.47","6.94","10.86","15.84","20.13","21.43","21.78","18.2","10.72","5.57","2.16"
"DE","-1.99","-3.04","1.47","6.75","11.18","17.86","20.19","19.72","15.59","9.53","4.38","-0.94"
"TN","-1.54","-1.51","3.42","7.7","12.39","17.61","19.11","19.56","15.22","7.82","2.5","-1.47"
"AK","-16.04","-13.85","-12.66","-4.72","2.0","6.56","8.95","7.77","4.21","-2.64","-11.1","-13.6"
"OH","-5.56","-6.75","-1.14","4.7","9.08","15.3","16.75","16.83","12.39","6.24","0.73","-4.63"
"LA","4.99","5.59","9.45","13.28","17.94","21.73","22.9","23.06","20.05","13.23","8.46","4.9"
"SD","-12.28","-11.99","-4.81","0.85","6.33","12.53","15.7","14.43","8.91","1.78","-4.6","-12.48"
"NC","-0.71","-0.85","3.31","7.87","12.11","17.69","19.09","19.7","15.65","9.08","3.42","-0.17"
"VA","-2.63","-3.19","1.27","6.26","10.37","16.29","17.92","18.32","13.91","7.68","2.21","-2.11"
"GU","24.27","24.13","24.22","25.03","25.48","25.73","25.02","24.45","24.57","24.78","25.33","25.03"
"MO","-5.19","-4.52","1.77","7.05","12.16","17.95","19.25","19.18","14.23","7.04","2.19","-4.74"
"MA","-7.18","-6.91","-3.21","2.52","7.54","13.71","16.67","15.54","11.39","5.67","1.16","-4.78"
"WI","-12.45","-12.3","-5.83","1.5","6.77","12.76","14.86","14.19","9.79","3.35","-2.28","-11.23"
"ME","-13.45","-12.21","-7.89","-0.41","4.7","10.94","13.8","12.11","8.1","2.84","-1.79","-9.33"
"OK","-2.85","-1.2","4.53","8.33","13.89","19.21","20.88","21.09","15.89","8.93","3.32","-3.02"
"IL","-6.72","-6.6","0.0","5.55","10.64","16.65","17.88","17.66","13.15","6.24","1.06","-6.33"
"CT","-6.86","-6.51","-2.82","3.09","7.98","14.33","17.06","15.88","11.68","5.79","1.12","-4.85"
"IN","-5.93","-6.53","-0.06","5.38","10.2","16.35","17.22","17.2","12.73","6.34","0.84","-5.33"
"VT","-12.19","-11.66","-7.41","0.19","5.23","11.86","14.07","12.6","8.75","2.74","-1.69","-8.95"
"ND","-16.31","-16.16","-7.72","-0.61","4.68","10.86","13.55","12.04","6.99","0.18","-6.47","-15.57"
